well,id,well-id,well-id,puncta,group,last_tp,Cy5-mean-1,Cy5-mean-2,Cy5-mean-3,Cy5-mean-4,Cy5-std-1,Cy5-std-2,Cy5-std-3,Cy5-std-4,Cy5-CV-1,Cy5-CV-2,Cy5-CV-3,Cy5-CV-4
D12,87,D12-87,D12-87,0,ubqln2-P506T-?UBL,9,91.67965368,99.46428571,82.4967033,85.3772791,29.95612191,67.71145074,35.45787611,32.48604214,0.326747765,0.680761444,0.429809613,0.380499853
D12,90,D12-90,D12-90,0,ubqln2-P506T-?UBL,9,77.50224215,71.24795082,68.92407407,70.16908213,24.69615798,18.73111059,14.47615453,16.22225099,0.318650884,0.262900341,0.210030453,0.231188018
D12,92,D12-92,D12-92,0,ubqln2-P506T-?UBL,1,79.85258964,NA,NA,NA,20.20468426,NA,NA,NA,0.253024784,NA,NA,NA
D12,95,D12-95,D12-95,0,ubqln2-P506T-?UBL,7,104.2019231,107.4175824,98.48355263,98.94134897,30.5876357,41.44277115,37.90005545,33.58775554,0.29354195,0.385809941,0.384836396,0.339471373
D12,97,D12-97,D12-97,0,ubqln2-P506T-?UBL,1,101.4516129,NA,NA,NA,23.26715629,NA,NA,NA,0.229342399,NA,NA,NA
D12,98,D12-98,D12-98,0,ubqln2-P506T-?UBL,1,40.06,NA,NA,NA,15.14682805,NA,NA,NA,0.378103546,NA,NA,NA
A11,11,A11-11,A11-11,1,ubqln2-P506T-?UBL,1,142.7289528,NA,NA,NA,103.9936246,NA,NA,NA,0.728609176,NA,NA,NA
A11,14,A11-14,A11-14,1,ubqln2-P506T-?UBL,1,111.5560345,NA,NA,NA,72.71858462,NA,NA,NA,0.651857024,NA,NA,NA
A11,34,A11-34,A11-34,1,ubqln2-P506T-?UBL,1,54.40347072,NA,NA,NA,50.41457099,NA,NA,NA,0.926679315,NA,NA,NA
A11,52,A11-52,A11-52,1,ubqln2-P506T-?UBL,1,76.46041667,NA,NA,NA,35.45088292,NA,NA,NA,0.46365014,NA,NA,NA
A11,59,A11-59,A11-59,1,ubqln2-P506T-?UBL,5,71.14193548,164.0876866,159.992228,159.6605505,49.74625143,204.3271762,241.2272915,223.0655508,0.699253557,1.245231622,1.507743811,1.397123774
A11,68,A11-68,A11-68,1,ubqln2-P506T-?UBL,1,111.645614,NA,NA,NA,91.74000652,NA,NA,NA,0.821707215,NA,NA,NA
A11,69,A11-69,A11-69,1,ubqln2-P506T-?UBL,9,76.91385768,131.6505495,188.4321267,186.9123506,33.75384671,92.60410165,159.1729079,161.3770432,0.438852604,0.703408395,0.84472277,0.86338352
